,sentiment_index
1999-01,0.07005516220491138
1999-02,0.04804258041922418
1999-03,0.08354726217679795
1999-04,0.14600340172972914
1999-05,0.0991868234635014
1999-06,0.10060692965832636
1999-07,0.10463555990393363
1999-08,0.03889466195644689
1999-09,0.05956120692938204
1999-10,0.06799292697105619
1999-11,0.1003329325957092
1999-12,0.15970062423301637
2000-01,0.20986553458676796
2000-02,0.08607463844423897
2000-03,0.08263270483519895
2000-04,0.059662933763102804
2000-05,0.21895039185420914
2000-06,0.04730716915829576
2000-07,0.1732596458989974
2000-08,0.03051727737479406
2000-09,-0.023916389594270757
2000-10,0.03687377338173799
2000-11,-0.08873630795449645
2000-12,0.08859810541199102
2001-01,0.11982375017163531
2001-02,0.05319312016876828
2001-03,-0.06052194139140718
2001-04,0.021292374884008407
2001-05,0.013652861469674456
2001-06,0.04906821420272243
2001-07,0.07067137929203529
2001-08,0.09299202430811007
2001-09,0.06667078426260245
2001-10,-0.004083240022001953
2001-11,0.08213381143763282
2001-12,0.059727068639369316
2002-01,0.08611816510485294
2002-02,0.13969799826349907
2002-03,0.08666631866932671
2002-04,0.11214463815301678
2002-05,0.06598998836260186
2002-06,0.13238987746397993
2002-07,0.10965864937442084
2002-08,0.10354589607674676
2002-09,0.08272805094847244
2002-10,0.04896915541617596
2002-11,0.09976979265502493
2002-12,0.09246025886367304
2003-01,0.11252467764541903
2003-02,0.12511411081857193
2003-03,0.013689978730684766
2003-04,0.04632741468306564
2003-05,0.07272190472076052
2003-06,0.10860324648391241
2003-07,0.07683215247318474
2003-08,0.13186169799016914
2003-09,0.14151112453950238
2003-10,0.12858758514645327
2003-11,0.12472557543867599
2003-12,0.12753720859128118
2004-01,0.14099698670661825
2004-02,0.1196304712601006
2004-03,0.11688465134325732
2004-04,0.18921539322991776
2004-05,0.1111547158224963
2004-06,0.13274306487598816
2004-07,0.12542740175367315
2004-08,0.1450363097730194
2004-09,0.15389178295582961
2004-10,0.169685090760674
2004-11,0.10158707879378173
2004-12,0.18454373561068124
2005-01,0.2050884581113811
2005-02,0.04062920410777687
2005-03,0.1475421582213081
2005-04,0.07794979639443682
2005-05,0.13462325107391496
2005-06,0.1315409954145144
2005-07,0.13510374470251832
2005-08,0.06522770892132224
2005-09,0.12151755427046838
2005-10,0.09707737519189556
2005-11,0.09313568661279274
2005-12,0.14746023340893313
2006-01,0.11753770524759524
2006-02,0.10996078103766235
2006-03,0.08914126577338109
2006-04,0.1369574666697307
2006-05,0.12189719358093108
2006-06,0.11761047197805147
2006-07,0.11549424590075569
2006-08,0.1414005329864686
2006-09,0.11333568532453926
2006-10,0.1451272845085732
2006-11,0.15710991005112263
2006-12,0.10033221706853274
2007-01,0.1386360173380441
2007-02,0.15287882781360151
2007-03,0.11289709425285709
2007-04,0.10973968370981313
2007-05,0.19192275414479168
2007-06,0.13492202730073524
2007-07,0.12029035080680836
2007-08,0.11421718017321057
2007-09,0.11946266290875052
2007-10,0.10195979587856008
2007-11,0.1337658763113716
2007-12,0.11954934565751119
2008-01,0.1306242460652287
2008-02,0.11394605697973605
2008-03,0.14721359142045579
2008-04,0.15373965979339135
2008-05,0.10193103125327037
2008-06,0.14204928286542834
2008-07,0.08773434519375456
2008-08,0.08071868933329467
2008-09,0.04242044122879301
2008-10,0.00801010999330379
2008-11,0.050743190940027966
2008-12,0.014941937459401141
2009-01,0.04202867507903534
2009-02,0.012942590229411171
2009-03,0.051409223209708185
2009-04,0.06304236548090542
2009-05,0.08725420441377102
2009-06,0.14180148260185388
2009-07,0.08396687070618203
2009-08,0.07356724183071958
2009-09,0.14584571331870166
2009-10,0.14264010675734157
2009-11,0.10985470404513917
2009-12,0.11537379410247565
2010-01,0.08957228268077337
2010-02,0.08983072845136034
2010-03,0.05841530911157259
2010-04,0.07503992541325448
2010-05,0.04761114415585758
2010-06,0.0810567630241882
2010-07,0.06003806393043491
2010-08,0.06811419884542257
2010-09,0.080016732985518
2010-10,0.08759969555189541
2010-11,0.10573928738013451
2010-12,0.13684439809735274
2011-01,0.13602962220635154
2011-02,0.07745377203185626
2011-03,0.01650899094059534
2011-04,0.05444894427115127
2011-05,0.04979591390343494
2011-06,0.08508981227842911
2011-07,0.10428046256022158
2011-08,0.06648987385486753
2011-09,0.09080412532051177
2011-10,0.030339310819360303
2011-11,0.06832503235069683
2011-12,0.04267405308916198
2012-01,0.03495543335969
2012-02,0.11209433890352728
2012-03,0.11548491683316442
2012-04,0.09315018464263249
2012-05,0.122404430392195
2012-06,0.10533578347035369
2012-07,0.08521395096931193
2012-08,0.11375228514188257
2012-09,0.12722237341517048
2012-10,0.08646666882517
2012-11,0.1008203587469672
2012-12,0.1164407139563089
2013-01,0.1446973047869848
2013-02,0.13709909359671374
2013-03,0.08453364755671043
2013-04,0.13455035101681956
2013-05,0.15982186073468518
2013-06,0.10420599314839367
2013-07,0.09404126015487736
2013-08,0.1044886558294935
2013-09,0.12434798776342564
2013-10,0.08825828478331675
2013-11,0.1381051886174008
2013-12,0.09228046294801469
2014-01,0.09662895471103586
2014-02,0.12078908691595922
2014-03,0.09901075935400755
2014-04,0.09382246445272446
2014-05,0.08038800931613548
2014-06,0.075801759826643
2014-07,0.09031384894432928
2014-08,0.0904983308857266
2014-09,0.10652216814561087
2014-10,0.08814030390501136
2014-11,0.08828716901747842
2014-12,0.10714944253021429
2015-01,0.13619422102511541
2015-02,0.07076872550291619
2015-03,0.09011947213734925
2015-04,0.10814010835832125
2015-05,0.0794456279870062
2015-06,0.05057449033031004
2015-07,0.08636844555013294
2015-08,0.08900349940644942
2015-09,0.07631837902010469
2015-10,0.08830923487419828
2015-11,0.1068611940083115
2015-12,0.05574472782232265
2016-01,0.09872138931094881
2016-02,0.03942485044678711
2016-03,0.03325352590840153
2016-04,0.04298806273361093
2016-05,0.04355001333819768
2016-06,0.07143529106672881
2016-07,0.05292287786927474
2016-08,0.043042364485274466
2016-09,0.055224800062352
2016-10,0.0335549688375359
2016-11,0.05354897295617886
2016-12,0.08385865684971389
2017-01,0.0015242037825682715
2017-02,0.07831548687463513
2017-03,0.05839176640476735
2017-04,0.09377679228045571
2017-05,0.05116782683870275
2017-06,0.07986771509530965
2017-07,0.08272614193878382
2017-08,0.09766917038571704
2017-09,0.09766476119206974
2017-10,0.10681052074700888
2017-11,0.1361033285990404
2017-12,0.07759674988652139
2018-01,0.13609466423847177
2018-02,0.1033344500352573
